(Time, ID): (11.050000000000, 21ceda) | (M, Li): (0.1990168448E+01, -0.412489242479205E+01) | Ra/Lat: (89.22053163, 40.49059538) F
(Time, ID): (11.050000000000, 1chat) | (M, Li): (0.1155705509E+01, -0.138183083906770E+02) | Ra/Lat: (25.51517140, -43.76351598) F
(Time, ID): (11.050000000000, 2chat) | (M, Li): (0.1100198798E+01, -0.142480597607791E+02) | Ra/Lat: (25.51517140, -43.76351598) F
(Time, ID): (11.050000000000, 6chat) | (M, Li): (0.2384383947E+01, -0.957171598076820E+01) | Ra/Lat: (25.51517140, -43.76351598) F
(Time, ID): (11.050000000000, 13chat) | (M, Li): (0.1840721699E+01, -0.394467336311936E+01) | Ra/Lat: (25.51517140, -43.76351598) F
(Time, ID): (11.050000000000, 16chat) | (M, Li): (0.1019778810E+01, -0.179172908663750E+02) | Ra/Lat: (25.51517140, -43.76351598) F
(Time, ID): (11.050000000000, 20chat) | (M, Li): (0.1536317905E+01, -0.126527143940330E+02) | Ra/Lat: (25.51517140, -43.76351598) F
(Time, ID): (11.050000000000, 25chat) | (M, Li): (0.1469211785E+01, -0.231533359624445E+02) | Ra/Lat: (25.51517140, -43.76351598) F
(Time, ID): (11.050000000000, 1coco) | (M, Li): (0.2158710381E+01, -0.289914194084704E+02) | Ra/Lat: (298.91498021, -12.10917075) F
(Time, ID): (11.050000000000, 4coco) | (M, Li): (0.1244098374E+01, -0.119829061441123E+02) | Ra/Lat: (298.91498021, -12.10917075) F
(Time, ID): (11.050000000000, 7coco) | (M, Li): (0.1961440703E+01, -0.102734653428197E+02) | Ra/Lat: (298.91498021, -12.10917075) F
(Time, ID): (11.050000000000, 8coco) | (M, Li): (0.1251257409E+01, -0.361359027549624E+02) | Ra/Lat: (298.91498021, -12.10917075) F
(Time, ID): (11.050000000000, 11coco) | (M, Li): (0.2417739451E+01, 0.778898458182812E+01) | Ra/Lat: (298.91498021, -12.10917075) F
(Time, ID): (11.050000000000, 13coco) | (M, Li): (0.1480284208E+01, -0.332158645018935E+02) | Ra/Lat: (298.91498021, -12.10917075) F
(Time, ID): (11.050000000000, 20coco) | (M, Li): (0.1882428868E+01, -0.123967350684106E+02) | Ra/Lat: (298.91498021, -12.10917075) F
